post,tags
12611,"[u'#NationalIcedTeaDay', u'#krispykreme', u'#weekend', u'#yum', u'#treat', u'#summer', u'#south', u'#cold']"
12612,"[u'#Nutella', u'#Doughnut', u'#EasiestSellEver', u'#KrispyKreme', u'#nutellalove', u'#omg', u'#doughnuts', u'#yummy', u'#giveme', u'#doughnut', u'#yum', u'#krispykremedoughnuts', u'#nutellalover', u'#heavononearth', u'#nutellalovers']"
12613,"[u'#doughnutlove', u'#regram']"
12614,"[u'#ValentinesDay', u'#Repost', u'#HotLight', u'#WhenItsOnItsOn', u'#love']"
12615,"[u'#Repost', u'#historic', u'#northcarolina', u'#krispykreme']"
12616,[u'#NationalDoughnutDay']
12617,"[u'#TeacherAppreciationDay', u'#Repost', u'#krispykreme', u'#teacher', u'#thankyou', u'#donuts']"
12618,[u'#dayofthedozens']
12619,"[u'#DoughnutCake', u'#Repost']"
12620,"[u'#AmericanClassics', u'#krispykreme', u'#Repost']"
12621,[u'#PumpkinSpice']
12622,"[u'#XOXOKrispyKreme', u'#US']"
12623,[u'#Caturday']
12624,[u'#reposticonosquare']
12625,"[u'#Repost', u'#krispykreme', u'#uae', u'#valentinesday']"
12626,"[u'#WheelsUp', u'#Repost']"
12627,"[u'#XOXOKrispyKreme', u'#US']"
12628,"[u'#SneakPeek', u'#Louisiana']"
12629,"[u'#redvelvetcake', u'#Repost', u'#doughnuts', u'#krispykreme']"
12630,"[u'#nationalpuppyday', u'#krispykreme', u'#dogsofinstagram']"
12631,"[u'#FrozenLemonade', u'#Chillers', u'#instayum', u'#yum', u'#krispykreme']"
12632,[u'#OriginalGlazed']
12633,[u'#XOXOKrispyKreme']
12634,"[u'#reposticonosquare', u'#HersheysGoldDoughnut', u'#KrispyKreme']"
12635,[u'#boo']
12636,"[u'#WednesdayWisdom', u'#reposticonosquare']"
12637,[u'#LeapDay']
12638,"[u'#talklikeapirateday', u'#yohoho']"
12639,"[u'#US', u'#GainADoughnut']"
12640,"[u'#October', u'#hbd', u'#hbday', u'#Repost', u'#birthdaydonut', u'#krispykreme', u'#husband', u'#24']"
12641,[u'#FridayFeeling']
12642,[u'#yummy']
12643,"[u'#4', u'#KrispyKreme']"
12644,"[u'#doughnutlovers', u'#joyofkrispykreme']"
12645,"[u'#GainADoughnut', u'#US', u'#CAN']"
12646,"[u'#krispykreme', u'#4thofJuly']"
12647,[u'#Halloween']
12648,"[u'#Repost', u'#krispykreme', u'#lovedonuts']"
12649,"[u'#fresh', u'#chocolate', u'#food', u'#krispykreme', u'#doughnuts']"
12650,"[u'#HotLight', u'#Ghostbusters']"
12651,"[u'#Nutella', u'#Doughnut', u'#EasiestSellEver', u'#KrispyKreme', u'#nutellalove', u'#omg', u'#doughnuts', u'#yummy', u'#giveme', u'#doughnut', u'#yum', u'#krispykremedoughnuts', u'#nutellalover', u'#heavononearth', u'#nutellalovers']"
12652,"[u'#WishYouWereHere', u'#DoughnutsWithAView', u'#Repost']"
12653,"[u'#krispykreme', u'#yum', u'#Repost']"
12654,[u'#reposticonosquare']
12655,[u'#nationalcoffeeday']
12656,"[u'#Freebruary', u'#KrispyKremeCoffee', u'#']"
12657,[u'#krispykreme']
12658,"[u'#OriginalGlazed', u'#DoughnutRun']"
12659,"[u'#Doughnuts', u'#Golf']"
12660,"[u'#Chocolate', u'#Doughnuts', u'#Mocha', u'#US', u'#CAN', u'#instafood', u'#instayum', u'#new', u'#comingsoon']"
12661,"[u'#newyear', u'#Repost', u'#krispykreme']"
12662,[u'#SouthernClassics']
12663,"[u'#HersheysGold', u'#KrispyKreme', u'#gold', u'#reposticonosquare']"
12664,[u'#reposticonosquare']
12665,[u'#CakeBatterDoughnuts']
12666,[u'#Repost']
12667,[u'#KeepPounding']
12668,"[u'#PeppermintMocha', u'#OriginalGlazed', u'#Repost']"
12669,[u'#Repost']
12670,[u'#krispykremelove']
12671,"[u'#StrawberryDay', u'#TuesdayTip', u'#reposticonosquare', u'#krispykreme']"
12672,[u'#OriginalGlazed']
12673,"[u'#Repost', u'#krispykreme']"
12674,"[u'#Repost', u'#krispykreme', u'#krispykremedoughnuts', u'#holidaycheer']"
12675,"[u'#krispykreme', u'#delicious', u'#yum', u'#coffee', u'#monday', u'#icedcoffee', u'#hazelnut', u'#vanilla', u'#caramel']"
12676,"[u'#VoteForGlaze', u'#VoteForGlaze', u'#sponsored', u'#reposticonosquare']"
12677,"[u'#SayItWithDoughnuts', u'#Doughnuts', u'#ValentinesDay', u'#heart', u'#love', u'#']"
12678,"[u'#krispykreme', u'#valentinesday', u'#treat', u'#tuesdaythoughts']"
12679,[u'#reposticonosquare']
12680,"[u'#Repost', u'#krispykreme', u'#donutrun', u'#doughnuts']"
12681,"[u'#krispykreme', u'#spring', u'#doughnut', u'#', u'#', u'#egghunt', u'#happyspring']"
12682,"[u'#TravelTuesday', u'#travel', u'#Repost']"
12683,"[u'#Repost', u'#NIKEiD', u'#krispykreme']"
12684,[u'#PumpkinSpice']
12685,"[u'#SouthernSummerClassics', u'#Yall']"
12686,[u'#Repost']
12687,"[u'#coffee', u'#Repost', u'#krispykreme', u'#lovehim']"
12688,[u'#Repost']
12689,"[u'#TreatCred', u'#Halloween', u'#krispykreme']"
12690,"[u'#FridayThe13th', u'#PumpkinSpice', u'#FridayNightSpice', u'#krispykreme']"
12691,"[u'#MondayMotivation', u'#Repost']"
12692,[u'#LatteTravelsContest']
12693,"[u'#Halloween', u'#krispykreme']"
12694,"[u'#glaze', u'#OriginalGlazed', u'#KrispyKreme', u'#DoughnutRun', u'#instafood']"
12695,[u'#heroappreciationday']
12696,"[u'#Repost', u'#Clydedog', u'#dogsofinstagram', u'#krispykreme', u'#delicious']"
12697,"[u'#birthday', u'#Surprise', u'#doughnuts', u'#yum']"
12698,[u'#Repost']
12699,[u'#2018']
12700,"[u'#Oregon', u'#Repost', u'#krispykreme', u'#Nike', u'#donut', u'#nikebasketball']"
12701,"[u'#HotLight', u'#Arkansas']"
12702,"[u'#Birthday', u'#doughnut', u'#US', u'#instabirthday', u'#instafun']"
12703,"[u'#doughnut', u'#nutella']"
12704,"[u'#OriginalGlazed', u'#Repost']"
12705,[u'#NationalChocolateDay']
12706,"[u'#ThursdayThoughts', u'#Repost']"
12707,"[u'#KrispyKreme', u'#yum', u'#reposticonosquare']"
12708,"[u'#Repost', u'#coffee', u'#doughnuts', u'#', u'#', u'#krispykreme']"
12709,"[u'#doughnutrun', u'#hotnow', u'#yum', u'#originalglazed']"
12710,"[u'#krispykreme', u'#spring', u'#doughnut', u'#', u'#egghunt', u'#surprise']"
12711,"[u'#DoughnutHero', u'#school', u'#OriginalGlazed', u'#Food']"
12712,"[u'#tbt', u'#krispykreme', u'#nationalsmileweek', u'#summerfun']"
12713,[u'#ReesesPeanutButterDoughnut']
12714,"[u'#holidaydoughnuts', u'#Repost', u'#adventuresdaybyday', u'#vscocam', u'#vsco', u'#krispykreme', u'#winteriscoming', u'#donuts', u'#snowman', u'#doughnuts']"
12715,"[u'#yum', u'#instafood', u'#food']"
12716,"[u'#', u'#', u'#krispykreme', u'#food']"
12717,[u'#sundayfunday']
12718,[u'#NationalDoughnutDay']
12719,[u'#TalkLikeAPirateDay']
12720,"[u'#Repost', u'#gammaepsilon', u'#krispykreme']"
12721,"[u'#doughnuts', u'#Valentines', u'#Doughnuts']"
12722,"[u'#krispykreme', u'#instapic']"
12723,"[u'#santa', u'#krispykreme']"
12724,[u'#NationalPuzzleDay']
12725,"[u'#doughnutdate', u'#mothersday', u'#doughnut', u'#doughnuts', u'#krispykreme', u'#love', u'#treat']"
12726,[u'#dayofthedozens']
12727,[u'#Doughnut']
12728,[u'#Gingerbread']
12729,[u'#Florida']
12730,[u'#Repost']
12731,"[u'#hotdoughnuts', u'#yum', u'#doughnuts', u'#originalglazed', u'#instafood']"
12732,"[u'#reposticonosquare', u'#krispykreme', u'#weekend', u'#yum', u'#sprinkles']"
12733,"[u'#SayItWithDoughnuts', u'#Repost', u'#happyvalentinesday', u'#love']"
12734,[u'#ClassOf2017']
12735,[u'#krispykreme']
12736,"[u'#hotlight', u'#reposticonosquare', u'#krispykreme', u'#', u'#delicious', u'#thursdaythoughts', u'#latenight']"
12737,"[u'#madformonsters', u'#Repost', u'#krispykreme', u'#hotlighton', u'#gopanthers']"
12738,"[u'#Repost', u'#powerrangers', u'#krispykreme', u'#foodgram', u'#ignation']"
12739,"[u'#Repost', u'#photochallenge', u'#brand', u'#krispykreme']"
12740,"[u'#Saturday', u'#Repost', u'#aliceandtrixie', u'#shopnl', u'#krispykreme']"
12741,[u'#WeekendGoals']
12742,[u'#football']
12743,[u'#NationalCoffeeDay']
12744,"[u'#Repost', u'#peoplesnationalbank', u'#lovemyjob']"
12745,"[u'#GoGo', u'#reposticonosquare']"
12746,"[u'#GhostbustersDoughnuts', u'#instafood', u'#fun', u'#yum', u'#Ghostbusters']"
12747,"[u'#MondayMotivation', u'#krispykreme', u'#', u'#doughnut', u'#pickmeup']"
12748,"[u'#FinallyFriday', u'#Repost']"
12749,"[u'#Quiz', u'#funwithdoughnuts']"
12750,"[u'#XOXOKrispyKreme', u'#US']"
12751,[u'#Repost']
12752,"[u'#Repost', u'#happybirthday', u'#krispykreme', u'#donutcake', u'#hiddenmickey', u'#lotuscandle']"
12753,[u'#yum']
12754,"[u'#Mondays', u'#mondaymotivation', u'#Repost', u'#krispykreme']"
12755,"[u'#KrispyKremeAngelGrove', u'#PowerRangersMovie', u'#MMPR', u'#PowerRangers', u'#ItsMorphinTime', u'#MightMorphin', u'#RangerNation', u'#GoGo', u'#Alpha5', u'#PinkRanger', u'#BlueRanger', u'#BlackRanger', u'#YellowRanger', u'#RedRanger', u'#BetterTogether', u'#Doughnut', u'#Doughnuts', u'#Donut', u'#KrispyKremeDoughnuts']"
12756,[u'#PumpkinSpice']
12757,"[u'#Repost', u'#krispykreme', u'#donutlover']"
12758,"[u'#CoffeeLidArt', u'#Repost']"
12759,"[u'#HotLight', u'#TuesdayThoughts', u'#doughnut', u'#krispykreme', u'#', u'#yum', u'#delicious']"
12760,"[u'#HotLight', u'#Clemmons']"
12761,[u'#Roanoke']
12762,"[u'#Lemonade', u'#KrispyKreme', u'#yum']"
12763,"[u'#', u'#', u'#delicious', u'#krispykreme', u'#cookies']"
12764,"[u'#Repost', u'#krispykreme', u'#doughnut', u'#', u'#', u'#snowman', u'#food', u'#igfood', u'#yummy', u'#', u'#']"
12765,"[u'#US', u'#Repost', u'#krispykreme', u'#ftw']"
12766,"[u'#TBT', u'#GhostbustersDoughnut']"
12767,"[u'#WednesdayWisdom', u'#Repost']"
12768,"[u'#PumpkinSpice', u'#reposticonosquare']"
12769,"[u'#TravelTuesday', u'#reposticonosquare']"
12770,"[u'#HotLight', u'#yummy']"
12771,"[u'#treatyoself', u'#Repost', u'#donutbar', u'#sweets', u'#sprinkles', u'#glazed', u'#krispykreme', u'#donuts', u'#treatyoself', u'#savvybride', u'#weddingcoordinator', u'#sandiegoweddings']"
12772,[u'#TalkLikeAPirateDay']
12773,"[u'#birthday', u'#NationalPuppyDay', u'#Repost']"
12774,[u'#Repost']
12775,"[u'#FridayFeeling', u'#Repost', u'#blacklabsofinstagram']"
12776,[u'#MondayMotivation']
12777,"[u'#PumpkinSpice', u'#Coffee', u'#SipASmile']"
12778,"[u'#Repost', u'#blackfriday', u'#snowman', u'#glazeddoughnut', u'#doughnuts', u'#snowmandonut']"
12779,[u'#coffeebreak']
12780,"[u'#MothersDay', u'#DoughnutDate', u'#krispykreme', u'#doughnuts', u'#love', u'#treat', u'#mothersday']"
12781,"[u'#Nashville', u'#SweetStop']"
12782,"[u'#doughnutrun', u'#Repost', u'#krispykreme', u'#hotsignbling']"
12783,[u'#Repost']
12784,"[u'#dayofthedozens', u'#coupon', u'#US', u'#Canada']"
12785,"[u'#VoteForGlaze', u'#ad', u'#VoteForGlaze', u'#reposticonosquare']"
12786,"[u'#LeapDay', u'#OriginalGlazed', u'#Repost', u'#leapyear', u'#krispykreme']"
12787,"[u'#NationalDoughnutDay', u'#Repost']"
12788,"[u'#KrispyKreme', u'#HabitatForHumanity', u'#WSNC', u'#MyWS', u'#SharetheJoy']"
12789,[u'#gift']
12790,[u'#WinKrispyKremePopUpParty']
12791,[u'#LookForCirclesDay']
12792,"[u'#doughnuts', u'#weekend', u'#KrispyKreme', u'#instafun', u'#lol']"
12793,"[u'#WeddingCake', u'#Repost', u'#marciaandjohnwedding', u'#doughnuts', u'#krispykreme']"
12794,"[u'#NationalSunglassesDay', u'#Repost']"
12795,"[u'#MothersDay', u'#reposticonosquare', u'#MothersDay', u'#mom', u'#Krispykremeuk', u'#love', u'#treatyourself', u'#doughnuts']"
12796,"[u'#valentinesday', u'#krispykreme', u'#sharethelove', u'#love']"
12797,[u'#Holiday']
12798,"[u'#DayOfTheDozens', u'#MondayMotivation', u'#doughnuts', u'#happymonday']"
12799,"[u'#Repost', u'#football', u'#coffee', u'#krispykreme']"
12800,[u'#Arkansas']
12801,[u'#DoughnutRun']
12802,"[u'#Repost', u'#buddy', u'#krispykreme', u'#doughnut']"
12803,"[u'#Repost', u'#krispykreme', u'#justmarried', u'#weddinginspiration']"
12804,[u'#Repost']
12805,[u'#Halloween']
12806,"[u'#krispykreme', u'#doughnut', u'#wedding', u'#specialoccasion', u'#party', u'#reposticonosquare']"
12807,"[u'#chocolate', u'#doughnuts']"
12808,"[u'#NationalSmileWeek', u'#HotLight']"
12809,"[u'#Repost', u'#Regram', u'#krispykreme']"
12810,"[u'#doughnutview', u'#doughnuts', u'#Repost']"
12811,"[u'#NationalCoffeeBreakDay', u'#PumpkinSpice', u'#Yum']"
12812,"[u'#KrispyKreme', u'#US']"
12813,"[u'#XOXOKrispyKreme', u'#US']"
12814,"[u'#SouthernClassics', u'#DoughnutRun']"
12815,"[u'#Repost', u'#krispykreme']"
12816,"[u'#NC', u'#SC', u'#originalglazed', u'#US', u'#deal']"
12817,[u'#doughnutrun']
12818,"[u'#PirateDoughnuts', u'#TalkLikeAPirateDay']"
12819,[u'#Repost']
12820,"[u'#Ghirardelli', u'#SoFancyDough']"
12821,"[u'#DoughnutParty', u'#Repost', u'#wolfhoundsofinstagram', u'#krispykreme']"
12822,"[u'#hotdoughnuts', u'#springfield', u'#vip']"
12823,"[u'#Repost', u'#doughnuts', u'#texas', u'#krispykreme', u'#cowboybreakfast']"
12824,[u'#Halloween']
12825,[u'#NewYearsEve']
12826,"[u'#BackToWork', u'#SipASmile', u'#MondayMotivation']"
12827,"[u'#yum', u'#Repost', u'#krispykreme', u'#latte', u'#']"
12828,"[u'#gadsden', u'#gadsdenalabama']"
12829,"[u'#KrispyKremeAK', u'#Repost']"
12830,"[u'#WednesdayWisdom', u'#reposticonosquare']"
12831,"[u'#crave', u'#yum']"
12832,[u'#doughnutharvest']
12833,[u'#TalkLikeAPirate']
12834,[u'#GoForTheGlazed']
12835,"[u'#coffee', u'#doughnuts']"
12836,[u'#RedVelvet']
12837,"[u'#Ghirardelli', u'#SoFancyDough']"
12838,"[u'#doughnuts', u'#instayum', u'#sprinkles']"
12839,[u'#GoForTheGlazed']
12840,"[u'#NationalCoffeeBreakDay', u'#coffee']"
12841,"[u'#halloween', u'#Repost', u'#krispykreme']"
12842,"[u'#Repost', u'#donuts']"
12843,[u'#yum']
12844,[u'#holidays']
12845,[u'#GhostbustersDoughnuts']
12846,[u'#yum']
12847,[u'#yum']
12848,[u'#Repost']
12849,"[u'#NationalDoughnutDay', u'#Repost', u'#nationaldonutday', u'#']"
12850,[u'#Repost']
12851,"[u'#yum', u'#Repost', u'#strawberryblossom', u'#strawberry']"
12852,"[u'#HotLight', u'#JustInTime', u'#WhenItsOnItsOn', u'#Repost']"
12853,"[u'#HappyBirthday', u'#HappyAnniversary', u'#HappyTuesday', u'#Repost']"
12854,"[u'#icedcoffee', u'#krispykreme', u'#delicious', u'#love', u'#treatyourself', u'#coffee', u'#tuesdaymotivation']"
12855,"[u'#Friday', u'#Repost']"
12856,"[u'#TalkLikeAPirateDay', u'#tbt']"
12857,"[u'#doughnutcake', u'#Repost', u'#krispykreme', u'#krispykremecake', u'#weddingcake', u'#yummy']"
12858,"[u'#Basketball', u'#doughnuts']"
12859,[u'#doughnutrun']
12860,"[u'#Repost', u'#krispykreme', u'#donuts', u'#donutholes', u'#getinmybelly', u'#yummy', u'#yes', u'#sweettooth']"
12861,"[u'#Monday', u'#reposticonosquare']"
12862,"[u'#Freebruary', u'#doughnuts', u'#KrispyKremeCoffee', u'#WednesdayWisdom', u'#']"
12863,"[u'#WednesdayWisdom', u'#Repost']"
12864,[u'#tbt']
12865,"[u'#CakeBatterDoughnuts', u'#CakeBatter', u'#Cake']"
12866,[u'#Repost']
12867,"[u'#Repost', u'#krispykreme', u'#birthday']"
12868,"[u'#PumpkinSpice', u'#FridayNightSpice']"
12869,"[u'#nike', u'#Repost', u'#donutsandkicks']"
12870,"[u'#Repost', u'#doughnuts', u'#coffee', u'#fundraising', u'#campus']"
12871,[u'#PumpkinSpice']
12872,"[u'#SipASmile', u'#anditsfreezingout']"
12873,[u'#Summer']
12874,[u'#hottestdayoftheyear']
12875,"[u'#hbd', u'#KrispyKreme']"
12876,"[u'#mondaymotivation', u'#reposticonosquare']"
12877,[u'#DoughnutCravings']
12878,"[u'#WednesdayWisdom', u'#Repost']"
12879,[u'#NationalDoughnutDay']
12880,"[u'#Repost', u'#krispykreme', u'#doughnut', u'#icecream', u'#strawberry', u'#taiwan', u'#taipei', u'#foodpic', u'#yummy']"
12881,"[u'#Repost', u'#krispykreme', u'#snowday', u'#instapuppy']"
12882,[u'#SipASmile']
12883,[u'#PumpkinSpice']
12884,"[u'#doughnutrun', u'#doughnutdreams']"
12885,"[u'#FathersDay', u'#krispykreme', u'#fathersday', u'#dad', u'#fun', u'#family', u'#treat', u'#celebrate', u'#love']"
12886,"[u'#SouthernClassics', u'#DoughnutRun', u'#Repost']"
12887,[u'#NationalCoffeeDay']
12888,"[u'#FridayNightSpice', u'#PumpkinSpice']"
12889,[u'#Football']
12890,"[u'#PumpkinSpice', u'#krispykreme']"
12891,"[u'#Repost', u'#krispykremeuk', u'#Braehead']"
12892,[u'#weekend']
12893,[u'#StPatricksDay']
12894,"[u'#yum', u'#Repost', u'#krispykreme']"
12895,"[u'#Latergram', u'#GoPanthers']"
12896,[u'#trivia']
12897,[u'#PumpkinSpice']
12898,"[u'#originalglazed', u'#kkoriginalmoment', u'#happy77th', u'#krispykreme']"
12899,[u'#summer']
12900,[u'#Halloween']
12901,[u'#NationalDoughnutDay']
12902,"[u'#HolidayDoughnuts', u'#KrispyKreme']"
12903,[u'#UglySweaterDay']
12904,"[u'#TuesdayMotivation', u'#Repost']"
12905,"[u'#valentines', u'#Repost', u'#krispykreme', u'#doughnut', u'#friday']"
12906,"[u'#NationalApplePieDay', u'#piedoughnuts']"
12907,[u'#PumpkinSpice']
12908,[u'#yum']
12909,"[u'#yum', u'#Repost', u'#photooftheday']"
12910,"[u'#Repost', u'#krispykreme', u'#sueannrichwedding']"
12911,[u'#originalglazed']
12912,[u'#boxingday']
12913,"[u'#cookiejar', u'#Repost', u'#krispykreme']"
12914,[u'#NationalHatDay']
12915,"[u'#Repost', u'#Doughnuts', u'#KrispyKreme', u'#Flag', u'#Austin', u'#Texas']"
12916,[u'#decisions']
12917,"[u'#nationaldoughnutday', u'#yum']"
12918,"[u'#krispykreme', u'#Repost', u'#doughnuts', u'#downtown', u'#citycenter', u'#impressive', u'#iconic', u'#landmark', u'#piedmont', u'#relic', u'#south', u'#southeast', u'#tarheelstate', u'#retro', u'#blastfromthepast', u'#researchtriangle']"
12919,"[u'#MondayMotivation', u'#Repost']"
12920,"[u'#krispykreme', u'#Germany', u'#Repost', u'#aafes', u'#germany']"
12921,"[u'#doughnuts', u'#doughnutrun', u'#krispykreme']"
12922,[u'#yummy']
12923,[u'#StPatricksDay']
12924,[u'#Repost']
12925,"[u'#SipASmile', u'#Repost']"
12926,"[u'#selfie', u'#DayofTheDozens']"
12927,"[u'#spring', u'#doughnut', u'#egghunt', u'#surprise', u'#happyspring', u'#', u'#', u'#']"
12928,[u'#Nom']
12929,[u'#yum']
12930,"[u'#Friday', u'#instafun', u'#hat']"
12931,[u'#reposticonosquare']
12932,"[u'#doughnutviewfinder', u'#Repost', u'#doughnut', u'#krispykreme', u'#yum']"
12933,"[u'#bananapudding', u'#doughnuts', u'#doughnutrun']"
12934,"[u'#WednesdayWisdom', u'#Repost']"
12935,"[u'#FreshDoughnuts', u'#InstaYum']"
12936,"[u'#ValentinesDay', u'#coffee', u'#love', u'#mug', u'#gift', u'#bemyvalentine']"
12937,"[u'#DoughnutsOnParade', u'#Yum']"
12938,"[u'#WednesdayWisdom', u'#Repost', u'#krispykreme']"
12939,"[u'#StayPuftSelfieDay', u'#Ghostbusters', u'#KrispySkremes']"
12940,"[u'#Halloween', u'#TreatCred', u'#reposticonosquare']"
12941,[u'#Repost']
12942,[u'#Repost']
12943,"[u'#heroappreciationday', u'#USandCAN']"
12944,"[u'#NationalPetDay', u'#CatsOfInstagram', u'#Repost', u'#KrispyKreme', u'#Doughnuts']"
12945,[u'#Repost']
12946,[u'#reposticonosquare']
12947,[u'#GameTime']
12948,"[u'#Gingerbread', u'#cinnamon', u'#ginger', u'#molasses', u'#reposticonosquare']"
12949,"[u'#Repost', u'#bunnybutt', u'#doughnuts', u'#krispykreme', u'#rabbitsofinstagram', u'#bunny', u'#rabbit']"
12950,[u'#OriginalGlazed']
12951,"[u'#OriginalGlazed', u'#yum', u'#DoughnutRun']"
12952,"[u'#weekend', u'#weekendfun', u'#Repost', u'#krispykreme']"
12953,"[u'#krispykreme', u'#orginalglazed', u'#yum']"
12954,[u'#Saturdays']
12955,"[u'#DaylightSavingTime', u'#FallBack']"
12956,[u'#DriveFor45']
12957,[u'#SipASmile']
12958,"[u'#light', u'#hotlight', u'#krispykreme', u'#eye', u'#doughnuts', u'#reposticonosquare']"
12959,"[u'#NationalCoffeeDay', u'#NationalCoffeeWeekend']"
12960,"[u'#caramel', u'#latte', u'#yum']"
12961,[u'#SipASmile']
12962,[u'#LuvBug']
12963,"[u'#PumpkinSpiceOG', u'#NationalPumpkinDay', u'#WednesdayWisdom', u'#Repost']"
12964,[u'#Thanksgiving']
12965,"[u'#hotchocolate', u'#originalglazed']"
12966,[u'#KrispyKremeAngelGrove']
12967,[u'#HotNow']
12968,[u'#NationalCoffeeDay']
12969,"[u'#NationalPetDay', u'#reposticonosquare']"
12970,"[u'#TropicalChiller', u'#KrispyKreme', u'#US', u'#CAN']"
12971,"[u'#Nutella', u'#Doughnut', u'#EasiestSellEver', u'#KrispyKreme']"
12972,"[u'#smile', u'#krispykreme', u'#doughnut']"
12973,"[u'#Sprinkles', u'#Repost']"
12974,[u'#LeapYear']
12975,[u'#CakeBatterDoughnuts']
12976,"[u'#nom', u'#OriginalGlazed', u'#instayum']"
12977,"[u'#NationalCoffeeDay', u'#krispykreme', u'#coffee', u'#coffeelover', u'#coffeelife', u'#coffeegram', u'#icedcoffee', u'#free', u'#love', u'#doughnuts', u'#happy', u'#weekend', u'#friday', u'#joe', u'#NationalCoffeeDay']"
12978,[u'#NationalHatDay']
12979,[u'#US']
12980,[u'#reposticonosquare']
12981,"[u'#yum', u'#TeatroDeKrispyKreme', u'#KrispyKremeDoughnuts']"
12982,[u'#doughnutsaroundtheworld']
12983,[u'#HotLight']
12984,"[u'#Pumpkin', u'#MondayMotivation']"
12985,"[u'#Ghostbusters', u'#US']"
12986,[u'#DoughnutRun']
12987,[u'#Repost']
12988,"[u'#SharetheJoy', u'#Repost']"
12989,[u'#VanillaSpiceLatte']
12990,[u'#repost']
12991,"[u'#repost', u'#krispykreme']"
12992,[u'#XOXOKrispyKreme']
12993,[u'#krispykreme']
12994,[u'#yum']
12995,"[u'#US', u'#CAN']"
12996,"[u'#friends', u'#friendsgiving']"
12997,[u'#nationaldoughnutday']
12998,"[u'#OriginalGlazed', u'#Yum']"
12999,"[u'#OriginalGlazed', u'#HBDKrispyKreme', u'#Repost']"
13000,"[u'#krispykreme', u'#instayum', u'#food', u'#instaglaze']"
13001,[u'#reposticonosquare']
13002,"[u'#DoughnutHero', u'#Repost', u'#krispykreme', u'#hot', u'#glazed', u'#doughnuts']"
13003,"[u'#Repost', u'#krispykreme']"
13004,"[u'#Repost', u'#krispykreme']"
13005,"[u'#OriginalGlazed', u'#Delish', u'#Food', u'#Yum']"
13006,"[u'#MothersDay', u'#Repost']"
13007,"[u'#Repost', u'#krispykreme', u'#doughnut']"
13008,"[u'#KrispyKreme', u'#HotLight', u'#HotNow']"
13009,"[u'#UglySweaterDay', u'#reposticonosquare', u'#UglySweaterDay', u'#ad']"
13010,"[u'#Halloween', u'#reposticonosquare']"
13011,"[u'#coffee', u'#doughnuts']"
13012,"[u'#HotLight', u'#JAX']"
13013,[u'#MondayMotivation']
13014,"[u'#WednesdayWisdom', u'#MakeTodaySpecial']"
13015,"[u'#Repost', u'#krispykreme', u'#FUNdraiser']"
13016,"[u'#BrownieBatter', u'#DoughnutRun']"
13017,"[u'#Houston', u'#Repost', u'#krispykreme', u'#houston']"
13018,"[u'#krispykreme', u'#hbd', u'#happy77th', u'#kkoriginalmoment']"
13019,"[u'#mothersday', u'#mothersday', u'#Repost', u'#krispykreme', u'#doughnuts', u'#cake']"
13020,"[u'#OfficeHero', u'#Repost', u'#krispykreme']"
13021,"[u'#valentines', u'#valentinesday']"
13022,[u'#XOXOKrispyKreme']
13023,"[u'#Repost', u'#krispykreme']"
13024,"[u'#WednesdayWisdom', u'#Repost']"
13025,"[u'#PerfectCombo', u'#Repost']"
13026,"[u'#reposticonosquare', u'#', u'#krispykreme', u'#doughnut', u'#thursdaythoughts']"
13027,"[u'#Santa', u'#JoyGoesAround']"
13028,[u'#coffeedate']
13029,[u'#yum']
13030,[u'#OriginalGlazed']
13031,"[u'#Repost', u'#happilyeverross']"
13032,"[u'#reposticonosquare', u'#valentinesday', u'#krispykreme', u'#doughnuts']"
13033,[u'#Repost']
13034,"[u'#bowtie', u'#Repost', u'#KrispyKreme']"
13035,"[u'#NationalSuperheroDay', u'#krispykreme', u'#']"
13036,"[u'#InternationalYouthDay', u'#Repost']"
13037,"[u'#DoughnutTime', u'#DoughnutRun']"
13038,"[u'#krispykreme', u'#beautiful', u'#gift', u'#happy', u'#treatyoself', u'#doughnuts', u'#donuts', u'#wednesdaywisdom', u'#fun']"
13039,"[u'#mondaymotivation', u'#makemondayaparty', u'#reposticonosquare']"
13040,[u'#RedVelvet']
13041,[u'#DoughnutCravings']
13042,"[u'#doughnutcravings', u'#Repost', u'#KrispyKreme', u'#DoughnutCandles', u'#ScentedCandle', u'#ScentedCandles', u'#Candles', u'#Candles', u'#MapleIcedGlazed', u'#DulceDeLeche', u'#DollarTree']"
13043,[u'#Repost']
13044,"[u'#Nutella', u'#Doughnut', u'#EasiestSellEver', u'#KrispyKreme', u'#nutellalove', u'#omg', u'#doughnuts', u'#yummy', u'#giveme', u'#doughnut', u'#yum', u'#krispykremedoughnuts', u'#nutellalover', u'#heavononearth', u'#nutellalovers']"
13045,[u'#yum']
13046,"[u'#chocolate', u'#doughnut', u'#krispykreme']"
13047,[u'#Ghostbusters']
13048,"[u'#OriginalGlazed', u'#instayum']"
13049,[u'#reposticonosquare']
13050,[u'#Repost']
13051,[u'#Repost']
13052,"[u'#HotChocolate', u'#yummy', u'#nationalhotchocolateday']"
13053,[u'#whoatethelastdoughnut']
13054,"[u'#Repost', u'#wifeyforlifey', u'#wedding', u'#krispykreme']"
13055,"[u'#Santa', u'#krispykreme', u'#holiday']"
13056,"[u'#sundayfunday', u'#Sunday', u'#Repost']"
